frameId,x_above,y_above,xa_above,ya_above,xb_above,yb_above,xc_above,yc_above,xd_above,yd_above,x_side,y_side,xa_side,ya_side,xb_side,yb_side,xc_side,yc_side,xd_side,yd_side,height,swimmerId,underwater,video,interpolateData
1,0,0,0,0,0,0,0,0,0,0,1092,729,972,604,1197,604,1197,828,972,828,225,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
2,0,0,0,0,0,0,0,0,0,0,1084,728,970,602,1196,602,1196,828,970,828,226,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
3,0,0,0,0,0,0,0,0,0,0,1090,729,956,601,1196,601,1196,830,956,830,240,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
4,0,0,0,0,0,0,0,0,0,0,1087,727,944,600,1195,600,1195,830,944,830,251,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
5,0,0,0,0,0,0,0,0,0,0,1095,729,933,601,1199,601,1199,833,933,833,266,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
6,0,0,0,0,0,0,0,0,0,0,1107,730,960,600,1209,600,1209,843,960,843,249,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
7,0,0,0,0,0,0,0,0,0,0,1111,737,955,602,1219,602,1219,843,955,843,264,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
8,0,0,0,0,0,0,0,0,0,0,1072,710,972,595,1181,595,1181,809,972,809,209,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
9,0,0,0,0,0,0,0,0,0,0,1067,708,959,594,1187,594,1187,810,959,810,228,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
10,0,0,0,0,0,0,0,0,0,0,1074,710,968,594,1191,594,1191,809,968,809,223,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
11,0,0,0,0,0,0,0,0,0,0,1060,683,969,544,1197,544,1197,811,969,811,228,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
12,0,0,0,0,0,0,0,0,0,0,1056,657,911,499,1199,499,1199,810,911,810,288,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
13,0,0,0,0,0,0,0,0,0,0,1065,664,944,514,1198,514,1198,810,944,810,254,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
14,0,0,0,0,0,0,0,0,0,0,1072,673,968,543,1197,543,1197,813,968,813,229,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
15,0,0,0,0,0,0,0,0,0,0,1081,677,974,541,1198,541,1198,817,974,817,224,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
16,0,0,0,0,0,0,0,0,0,0,1067,655,947,514,1196,514,1196,797,947,797,249,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
17,0,0,0,0,0,0,0,0,0,0,1099,688,948,514,1225,514,1225,841,948,841,277,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
18,0,0,0,0,0,0,0,0,0,0,1062,657,949,515,1194,515,1194,792,949,792,245,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
19,0,0,0,0,0,0,0,0,0,0,1065,659,956,514,1197,514,1197,790,956,790,241,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
20,0,0,0,0,0,0,0,0,0,0,1075,659,960,511,1204,511,1204,787,960,787,244,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
21,0,0,0,0,0,0,0,0,0,0,1117,697,964,510,1235,510,1235,823,964,823,271,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
22,0,0,0,0,0,0,0,0,0,0,1123,694,964,509,1234,509,1234,823,964,823,270,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
23,0,0,0,0,0,0,0,0,0,0,1120,662,1014,536,1234,536,1234,779,1014,779,220,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
24,0,0,0,0,0,0,0,0,0,0,404,399,340,316,537,316,537,475,340,475,197,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
25,0,0,0,0,0,0,0,0,0,0,1104,676,1003,535,1208,535,1208,772,1003,772,205,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
26,0,0,0,0,0,0,0,0,0,0,1115,682,995,535,1231,535,1231,782,995,782,236,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
27,0,0,0,0,0,0,0,0,0,0,1124,697,1001,580,1233,580,1233,812,1001,812,232,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
28,0,0,0,0,0,0,0,0,0,0,888,726,759,666,966,666,966,828,759,828,207,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
29,0,0,0,0,0,0,0,0,0,0,886,723,770,668,960,668,960,815,770,815,190,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
30,0,0,0,0,0,0,0,0,0,0,1141,708,1004,615,1235,615,1235,811,1004,811,231,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
31,0,0,0,0,0,0,0,0,0,0,1135,705,1004,581,1235,581,1235,809,1004,809,231,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
32,0,0,0,0,0,0,0,0,0,0,854,723,696,660,976,660,976,799,696,799,280,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
33,0,0,0,0,0,0,0,0,0,0,909,747,762,674,1042,674,1042,814,762,814,280,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
34,0,0,0,0,0,0,0,0,0,0,415,401,342,330,543,330,543,476,342,476,201,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
35,0,0,0,0,0,0,0,0,0,0,1146,715,994,593,1232,593,1232,798,994,798,238,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
36,0,0,0,0,0,0,0,0,0,0,418,401,337,331,539,331,539,476,337,476,202,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
37,0,0,0,0,0,0,0,0,0,0,1081,642,976,508,1208,508,1208,752,976,752,232,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
38,0,0,0,0,0,0,0,0,0,0,1090,655,1002,537,1211,537,1211,753,1002,753,209,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
39,0,0,0,0,0,0,0,0,0,0,416,400,336,333,532,333,532,481,336,481,196,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
40,0,0,0,0,0,0,0,0,0,0,1127,687,1012,540,1237,540,1237,822,1012,822,225,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
41,0,0,0,0,0,0,0,0,0,0,1130,689,1018,540,1236,540,1236,826,1018,826,218,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
42,0,0,0,0,0,0,0,0,0,0,1127,684,1006,538,1236,538,1236,822,1006,822,230,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
43,0,0,0,0,0,0,0,0,0,0,1130,685,1010,540,1238,540,1238,822,1010,822,228,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
44,0,0,0,0,0,0,0,0,0,0,1101,665,1023,540,1217,540,1217,792,1023,792,194,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
45,0,0,0,0,0,0,0,0,0,0,1134,694,1027,540,1243,540,1243,821,1027,821,216,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
46,0,0,0,0,0,0,0,0,0,0,1136,700,992,539,1243,539,1243,820,992,820,251,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
47,0,0,0,0,0,0,0,0,0,0,1133,701,1000,539,1244,539,1244,828,1000,828,244,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
48,0,0,0,0,0,0,0,0,0,0,1163,757,1016,672,1243,672,1243,832,1016,832,227,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
49,0,0,0,0,0,0,0,0,0,0,428,405,341,318,545,318,545,484,341,484,204,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
50,0,0,0,0,0,0,0,0,0,0,1136,698,1011,587,1241,587,1241,785,1011,785,230,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
51,0,0,0,0,0,0,0,0,0,0,1135,698,1014,587,1245,587,1245,785,1014,785,231,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
52,0,0,0,0,0,0,0,0,0,0,1135,696,1006,587,1246,587,1246,786,1006,786,240,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
53,0,0,0,0,0,0,0,0,0,0,1119,709,998,587,1221,587,1221,810,998,810,223,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
54,0,0,0,0,0,0,0,0,0,0,1116,708,1000,588,1217,588,1217,811,1000,811,217,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
55,0,0,0,0,0,0,0,0,0,0,1110,701,1007,588,1215,588,1215,811,1007,811,208,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
56,0,0,0,0,0,0,0,0,0,0,889,726,763,670,986,670,986,802,763,802,223,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
57,0,0,0,0,0,0,0,0,0,0,908,743,764,689,1018,689,1018,805,764,805,254,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
58,0,0,0,0,0,0,0,0,0,0,1109,720,1004,609,1216,609,1216,839,1004,839,212,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
59,0,0,0,0,0,0,0,0,0,0,1093,683,1004,544,1218,544,1218,797,1004,797,214,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
60,0,0,0,0,0,0,0,0,0,0,1130,720,997,608,1244,608,1244,801,997,801,247,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
61,0,0,0,0,0,0,0,0,0,0,1143,703,1008,608,1245,608,1245,803,1008,803,237,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
62,0,0,0,0,0,0,0,0,0,0,1137,718,1014,609,1246,609,1246,804,1014,804,232,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
63,0,0,0,0,0,0,0,0,0,0,438,402,350,333,543,333,543,480,350,480,193,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
64,0,0,0,0,0,0,0,0,0,0,1138,721,1003,611,1248,611,1248,806,1003,806,245,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
65,0,0,0,0,0,0,0,0,0,0,1129,713,1001,612,1250,612,1250,807,1001,807,249,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
