frameId,x_side,y_side,xa_side,ya_side,xb_side,yb_side,xc_side,yc_side,xd_side,yd_side,x_above,y_above,xa_above,ya_above,xb_above,yb_above,xc_above,yc_above,xd_above,yd_above,height,swimmerId,underwater,interpolateData
0,1319.04,299.2695,1186.6,480.341,1451.48,480.341,1451.48,118.198,1186.6,118.198,,,,,,,,,,,,0,False,False
1,1322.025,297.838,1189.56,480.341,1454.49,480.341,1454.49,115.335,1189.56,115.335,,,,,,,,,,,,0,False,False
3,1324.975,299.2885,1192.49,480.331,1457.46,480.331,1457.46,118.246,1192.49,118.246,,,,,,,,,,,,0,False,False
5,1327.915,297.7595,1195.51,480.269,1460.32,480.269,1460.32,115.25,1195.51,115.25,,,,,,,,,,,,0,False,False
5,855.5464999999999,505.3115,848.206,530.314,862.887,530.314,862.887,480.309,848.206,480.309,,,,,,,,,,,,0,False,False
6,1332.3049999999998,297.7985,1201.31,480.276,1463.3,480.276,1463.3,115.321,1201.31,115.321,,,,,,,,,,,,0,False,False
6,859.9275,483.30049999999994,839.36,530.401,880.495,530.401,880.495,436.2,839.36,436.2,,,,,,,,,,,,0,False,False
8,1335.24,297.7355,1201.39,480.175,1469.09,480.175,1469.09,115.296,1201.39,115.296,,,,,,,,,,,,0,False,False
8,864.384,481.722,848.18,530.259,880.588,530.259,880.588,433.185,848.18,433.185,,,,,,,,,,,,0,False,False
10,1336.635,297.765,1204.22,480.201,1469.05,480.201,1469.05,115.329,1204.22,115.329,,,,,,,,,,,,0,False,False
10,472.92600000000004,57.170964999999995,456.74,106.562,489.112,106.562,489.112,7.77993,456.74,7.77993,,,,,,,,,,,,0,False,False
10,861.3710000000001,506.74350000000004,853.974,530.229,868.768,530.229,868.768,483.258,853.974,483.258,,,,,,,,,,,,0,False,False
11,1338.1550000000002,296.2815,1207.15,480.154,1469.16,480.154,1469.16,112.409,1207.15,112.409,,,,,,,,,,,,0,False,False
13,1338.19,294.856,1207.15,480.183,1469.23,480.183,1469.23,109.529,1207.15,109.529,,,,,,,,,,,,0,False,False
13,477.2955,56.46845,453.771,106.567,500.82,106.567,500.82,6.3699,453.771,6.3699,,,,,,,,,,,,0,False,False
15,1341.03,294.82,1210.03,480.141,1472.03,480.141,1472.03,109.499,1210.03,109.499,,,,,,,,,,,,0,False,False
16,1341.21,294.7715,1210.24,480.136,1472.18,480.136,1472.18,109.407,1210.24,109.407,,,,,,,,,,,,0,False,False
16,483.164,57.193560000000005,462.638,106.593,503.69,106.593,503.69,7.79412,462.638,7.79412,,,,,,,,,,,,0,False,False
18,1347.105,291.918,1216.14,477.217,1478.07,477.217,1478.07,106.619,1216.14,106.619,,,,,,,,,,,,0,False,False
18,480.238,55.60693,453.773,103.438,506.703,103.438,506.703,7.77586,453.773,7.77586,,,,,,,,,,,,0,False,False
20,1354.375,290.341,1219.04,474.284,1489.71,474.284,1489.71,106.398,1219.04,106.398,,,,,,,,,,,,0,False,False
20,26.201345,106.4153,7.78819,182.99,44.6145,182.99,44.6145,29.8406,7.78819,29.8406,,,,,,,,,,,,0,False,False
20,456.66200000000003,24.77827,436.026,41.7609,477.298,41.7609,477.298,7.79564,436.026,7.79564,,,,,,,,,,,,0,False,False
21,1354.3600000000001,288.9335,1221.92,471.469,1486.8,471.469,1486.8,106.398,1221.92,106.398,,,,,,,,,,,,0,False,False
21,24.033965,109.3187,6.33963,185.893,41.7283,185.893,41.7283,32.7444,6.33963,32.7444,,,,,,,,,,,,0,False,False
21,483.1345,54.84307,456.629,103.351,509.64,103.351,509.64,6.33514,456.629,6.33514,,,,,,,,,,,,0,False,False
23,1357.335,288.951,1224.83,471.455,1489.84,471.455,1489.84,106.447,1224.83,106.447,,,,,,,,,,,,0,False,False
23,25.48415,107.978,6.3484,183.047,44.6199,183.047,44.6199,32.909,6.3484,32.909,,,,,,,,,,,,0,False,False
23,471.416,26.217485,453.765,44.6306,489.067,44.6306,489.067,7.80437,453.765,7.80437,,,,,,,,,,,,0,False,False
25,1358.73,288.949,1224.85,471.473,1492.61,471.473,1492.61,106.425,1224.85,106.425,,,,,,,,,,,,0,False,False
25,25.520135000000003,107.9482,6.35267,183.036,44.6876,183.036,44.6876,32.8604,6.35267,32.8604,,,,,,,,,,,,0,False,False
25,471.4425,27.67108,456.714,47.5353,486.171,47.5353,486.171,7.80686,456.714,7.80686,,,,,,,,,,,,0,False,False
26,1358.77,288.8975,1224.88,471.406,1492.66,471.406,1492.66,106.389,1224.88,106.389,,,,,,,,,,,,0,False,False
26,27.685950000000002,109.46849999999999,7.7586,185.95,47.6133,185.95,47.6133,32.987,7.7586,32.987,,,,,,,,,,,,0,False,False
28,1360.285,288.916,1224.93,471.402,1495.64,471.402,1495.64,106.43,1224.93,106.43,,,,,,,,,,,,0,False,False
28,29.155060000000002,109.40559999999999,7.76212,185.926,50.548,185.926,50.548,32.8852,7.76212,32.8852,,,,,,,,,,,,0,False,False
28,499.345,55.658235,483.173,103.524,515.517,103.524,515.517,7.79247,483.173,7.79247,,,,,,,,,,,,0,False,False
28,464.0425,27.669919999999998,436.021,47.5327,492.064,47.5327,492.064,7.80714,436.021,7.80714,,,,,,,,,,,,0,False,False
30,1361.715,288.9425,1227.85,471.415,1495.58,471.415,1495.58,106.47,1227.85,106.47,,,,,,,,,,,,0,False,False
30,29.152060000000002,109.4111,7.76212,185.943,50.542,185.943,50.542,32.8792,7.76212,32.8792,,,,,,,,,,,,0,False,False
30,497.9015,54.98079,477.332,103.609,518.471,103.609,518.471,6.35258,477.332,6.35258,,,,,,,,,,,,0,False,False
30,461.116,27.683945,436.03,47.5508,486.202,47.5508,486.202,7.81709,436.03,7.81709,,,,,,,,,,,,0,False,False
31,1363.19,288.9505,1230.69,471.433,1495.69,471.433,1495.69,106.468,1230.69,106.468,,,,,,,,,,,,0,False,False
31,29.138315,109.44475,7.76423,185.954,50.5124,185.954,50.5124,32.9355,7.76423,32.9355,,,,,,,,,,,,0,False,False
