frameId,x_side,y_side,xa_side,ya_side,xb_side,yb_side,xc_side,yc_side,xd_side,yd_side,x_above,y_above,xa_above,ya_above,xb_above,yb_above,xc_above,yc_above,xd_above,yd_above,height,swimmerId,underwater,interpolateData
0,1322.025,297.838,1189.56,480.341,1454.49,480.341,1454.49,115.335,1189.56,115.335,,,,,,,,,,,365.00600000000003,,False,
1,1322.025,297.838,1189.56,480.341,1454.49,480.341,1454.49,115.335,1189.56,115.335,,,,,,,,,,,365.00600000000003,,False,
2,1324.975,299.2885,1192.49,480.331,1457.46,480.331,1457.46,118.246,1192.49,118.246,,,,,,,,,,,362.08500000000004,,False,
3,1324.975,299.2885,1192.49,480.331,1457.46,480.331,1457.46,118.246,1192.49,118.246,,,,,,,,,,,362.08500000000004,,False,
4,1154.263,322.782,848.206,530.314,1460.32,530.314,1460.32,115.25,848.206,115.25,,,,,,,,,,,415.06399999999996,,False,
5,1154.263,322.782,848.206,530.314,1460.32,530.314,1460.32,115.25,848.206,115.25,,,,,,,,,,,415.06399999999996,,False,
6,1151.33,322.861,839.36,530.401,1463.3,530.401,1463.3,115.321,839.36,115.321,,,,,,,,,,,415.0799999999999,,False,
7,1158.635,322.77750000000003,848.18,530.259,1469.09,530.259,1469.09,115.296,848.18,115.296,,,,,,,,,,,414.963,,False,
8,1158.635,322.77750000000003,848.18,530.259,1469.09,530.259,1469.09,115.296,848.18,115.296,,,,,,,,,,,414.963,,False,
9,962.895,269.00446500000004,456.74,530.229,1469.05,530.229,1469.05,7.77993,456.74,7.77993,,,,,,,,,,,522.44907,,False,
10,962.895,269.00446500000004,456.74,530.229,1469.05,530.229,1469.05,7.77993,456.74,7.77993,,,,,,,,,,,522.44907,,False,
11,1338.1550000000002,296.2815,1207.15,480.154,1469.16,480.154,1469.16,112.409,1207.15,112.409,,,,,,,,,,,367.745,,False,
12,961.5005,243.27644999999998,453.771,480.183,1469.23,480.183,1469.23,6.3699,453.771,6.3699,,,,,,,,,,,473.8131,,False,
13,961.5005,243.27644999999998,453.771,480.183,1469.23,480.183,1469.23,6.3699,453.771,6.3699,,,,,,,,,,,473.8131,,False,
14,1341.03,294.82,1210.03,480.141,1472.03,480.141,1472.03,109.499,1210.03,109.499,,,,,,,,,,,370.64200000000005,,False,
15,1341.03,294.82,1210.03,480.141,1472.03,480.141,1472.03,109.499,1210.03,109.499,,,,,,,,,,,370.64200000000005,,False,
16,967.409,243.96506000000002,462.638,480.136,1472.18,480.136,1472.18,7.79412,462.638,7.79412,,,,,,,,,,,472.34188,,False,
17,965.9214999999999,242.49643,453.773,477.217,1478.07,477.217,1478.07,7.77586,453.773,7.77586,,,,,,,,,,,469.44113999999996,,False,
