frame,numero_pers,joint,x,y,tracking,est_joueur
0,0,0,1316.08,121.216,0,1
0,0,1,1330.82,174.043,0,1
0,0,2,1307.28,162.333,0,1
0,0,3,1251.33,147.577,0,1
0,0,4,1186.6,129.93,0,1
0,0,5,1354.31,177.098,0,1
0,0,6,1401.58,200.748,0,1
0,0,7,1451.48,224.355,0,1
0,0,8,1327.86,288.904,0,1
0,0,9,1310.23,288.92,0,1
0,0,10,1257.17,356.589,0,1
0,0,11,1280.68,441.947,0,1
0,0,12,1336.76,288.899,0,1
0,0,13,1383.87,371.36,0,1
0,0,14,1427.97,459.553,0,1
0,0,15,0,0,0,1
0,0,16,1327.75,118.198,0,1
0,0,17,0,0,0,1
0,0,18,1336.77,130.092,0,1
0,0,19,1392.69,477.355,0,1
0,0,20,1401.58,480.341,0,1
0,0,21,1445.48,465.51,0,1
0,0,22,1236.62,459.707,0,1
0,0,23,1236.79,456.707,0,1
0,0,24,1283.93,453.778,0,1
1,0,0,1324.94,121.142,0,1
1,0,1,1333.75,171.226,0,1
1,0,2,1310.25,159.387,0,1
1,0,3,1257.14,147.57,0,1
1,0,4,1189.56,129.873,0,1
1,0,5,1354.46,176.98,0,1
1,0,6,1404.41,200.625,0,1
1,0,7,1454.49,224.307,0,1
1,0,8,1328.02,288.851,0,1
1,0,9,1313.21,288.878,0,1
1,0,10,1257.39,356.589,0,1
1,0,11,1280.89,441.958,0,1
1,0,12,1342.6,288.87,0,1
1,0,13,1389.76,371.397,0,1
1,0,14,1433.81,459.593,0,1
1,0,15,0,0,0,1
1,0,16,1330.78,115.335,0,1
1,0,17,0,0,0,1
1,0,18,1348.46,130.049,0,1
1,0,19,1395.66,480.08,0,1
1,0,20,1404.53,480.341,0,1
1,0,21,1445.63,465.518,0,1
1,0,22,1236.75,459.694,0,1
1,0,23,1239.68,456.695,0,1
1,0,24,1289.66,453.794,0,1
2,0,0,1327.79,121.205,0,1
2,0,1,1333.9,174.025,0,1
2,0,2,1310.37,159.519,0,1
2,0,3,1257.22,147.615,0,1
2,0,4,1192.49,129.934,0,1
2,0,5,1357.36,177.045,0,1
2,0,6,1404.51,200.674,0,1
2,0,7,1457.46,227.095,0,1
2,0,8,1330.84,291.758,0,1
2,0,9,1319.04,291.784,0,1
2,0,10,1260.14,356.603,0,1
2,0,11,1283.72,442.008,0,1
2,0,12,1348.46,291.767,0,1
2,0,13,1395.52,374.297,0,1
2,0,14,1436.78,459.626,0,1
2,0,15,0,0,0,1
2,0,16,1330.9,118.246,0,1
2,0,17,0,0,0,1
2,0,18,1351.3,130.117,0,1
2,0,19,1398.49,480.082,0,1
2,0,20,1407.44,480.331,0,1
2,0,21,1445.72,465.562,0,1
2,0,22,1242.58,459.682,0,1
2,0,23,1248.46,456.711,0,1
2,0,24,1295.55,456.54,0,1
3,0,0,1327.88,118.241,0,1
3,0,1,1336.69,174.007,0,1
3,0,2,1313.16,159.482,0,1
3,0,3,1257.29,147.59,0,1
3,0,4,1195.51,129.891,0,1
3,0,5,1357.38,177.031,0,1
3,0,6,1407.44,200.629,0,1
3,0,7,1460.32,227.079,0,1
3,0,8,1330.9,288.993,0,1
3,0,9,1321.96,291.762,0,1
3,0,10,1260.19,353.734,0,1
3,0,11,1283.8,442.003,0,1
3,0,12,1348.53,288.979,0,1
3,0,13,1395.54,371.34,0,1
3,0,14,1436.85,459.562,0,1
3,0,15,0,0,0,1
3,0,16,1330.99,115.25,0,1
3,0,17,0,0,0,1
3,0,18,1351.42,129.984,0,1
3,0,19,1398.48,477.312,0,1
3,0,20,1407.4,480.269,0,1
3,0,21,1448.48,465.482,0,1
3,0,22,1245.47,459.669,0,1
3,0,23,1251.34,456.703,0,1
3,0,24,1298.51,456.531,0,1
3,1,0,0,0,1,0
3,1,1,0,0,1,0
3,1,2,0,0,1,0
3,1,3,0,0,1,0
3,1,4,0,0,1,0
3,1,5,0,0,1,0
3,1,6,0,0,1,0
3,1,7,0,0,1,0
3,1,8,860.011,480.337,1,0
3,1,9,859.979,483.115,1,0
3,1,10,854.086,489.097,1,0
3,1,11,856.893,527.289,1,0
3,1,12,862.887,480.309,1,0
3,1,13,854.094,492.029,1,0
3,1,14,856.978,527.372,1,0
3,1,15,0,0,1,0
3,1,16,0,0,1,0
3,1,17,0,0,1,0
3,1,18,0,0,1,0
3,1,19,851.101,530.296,1,0
3,1,20,851.092,530.314,1,0
3,1,21,857.018,530.234,1,0
3,1,22,853.956,527.421,1,0
3,1,23,848.206,530.276,1,0
3,1,24,856.872,530.234,1,0
4,0,0,1327.94,121.141,0,1
4,0,1,1336.8,171.244,0,1
